Data,TempEquip1 (C/10),UmdEquip1 (UR/10),DewEquip1 (C/10),TempEquip2 (C/10),UmdEquip2 (UR/10),DewEquip2 (C/10),TempExame1 (C/10),UmdExame1 (UR/10),DewExame1 (C/10),TempExame2 (C/10),UmdExame2 (UR/10),
231124122739,198,431,95,0,0,0,192,485,82,0,0,0
231124122750,198,431,95,0,0,0,192,485,82,0,0,0
231124122801,198,431,95,0,0,0,192,485,82,0,0,0
231124122813,198,431,95,0,0,0,192,485,82,0,0,0
231124122824,198,431,95,0,0,0,192,486,82,0,0,0
231124122835,198,432,95,0,0,0,192,486,82,0,0,0
231124123005,198,432,95,0,0,0,191,488,81,0,0,0
231124123016,198,432,95,0,0,0,190,489,80,0,0,0
231124123027,198,432,95,0,0,0,190,489,80,0,0,0
231124123038,198,430,95,0,0,0,190,489,80,0,0,0
231124123050,198,432,95,0,0,0,190,489,80,0,0,0
231124123101,198,432,95,0,0,0,190,489,80,0,0,0
231124123112,198,430,95,0,0,0,190,489,80,0,0,0
231124123123,198,430,95,0,0,0,190,489,80,0,0,0
231124123134,198,429,95,0,0,0,190,489,80,0,0,0
231124123146,198,432,95,0,0,0,189,490,79,0,0,0
231124123157,198,432,95,0,0,0,189,490,79,0,0,0
231124123208,198,429,95,0,0,0,189,490,79,0,0,0
231124123219,198,430,95,0,0,0,189,490,79,0,0,0
231124123230,198,430,95,0,0,0,189,491,79,0,0,0
231124123242,198,430,95,0,0,0,188,491,78,0,0,0
231124123253,198,428,95,0,0,0,188,491,78,0,0,0
231124123304,198,429,95,0,0,0,188,492,78,0,0,0
231124123315,198,430,95,0,0,0,188,492,78,0,0,0
231124123326,198,429,95,0,0,0,188,493,78,0,0,0
231124123338,198,429,95,0,0,0,188,494,78,0,0,0
231124123507,198,427,95,0,0,0,187,497,80,0,0,0
231124123519,198,427,95,0,0,0,187,498,80,0,0,0
231124123530,198,429,95,0,0,0,186,500,79,0,0,0
231124123541,198,430,95,0,0,0,186,503,79,0,0,0
231124123552,198,430,95,0,0,0,186,504,79,0,0,0
231124123603,198,431,95,0,0,0,186,505,82,0,0,0
231124123615,198,433,95,0,0,0,186,506,82,0,0,0
231124123626,198,431,95,0,0,0,186,509,82,0,0,0
231124123637,198,431,95,0,0,0,186,511,82,0,0,0
231124123648,198,432,95,0,0,0,186,512,82,0,0,0
231124123659,198,432,95,0,0,0,186,513,82,0,0,0
231124123711,198,433,95,0,0,0,186,515,85,0,0,0
231124123722,198,432,95,0,0,0,186,515,85,0,0,0
231124123733,198,433,95,0,0,0,186,517,85,0,0,0
231124123744,198,432,95,0,0,0,186,518,85,0,0,0
231124123756,198,435,98,0,0,0,186,518,85,0,0,0
231124123807,198,434,95,0,0,0,186,518,85,0,0,0
231124123818,198,434,95,0,0,0,186,518,85,0,0,0
231124123829,198,434,95,0,0,0,186,518,85,0,0,0
231124123840,198,436,98,0,0,0,186,518,85,0,0,0
231124124010,198,435,98,0,0,0,187,515,86,0,0,0
231124124021,198,435,98,0,0,0,187,514,83,0,0,0
231124124032,198,436,98,0,0,0,187,514,83,0,0,0
231124124044,198,436,98,0,0,0,187,513,83,0,0,0
231124124055,198,437,98,0,0,0,187,513,83,0,0,0
231124124106,198,437,98,0,0,0,187,512,83,0,0,0
231124124117,198,437,98,0,0,0,188,511,84,0,0,0
231124124129,198,437,98,0,0,0,188,510,84,0,0,0
231124124140,198,437,98,0,0,0,188,510,84,0,0,0
231124124151,198,438,98,0,0,0,188,509,84,0,0,0
231124124202,198,438,98,0,0,0,188,508,84,0,0,0
231124124213,198,438,98,0,0,0,189,508,85,0,0,0
231124124225,198,439,98,0,0,0,189,506,85,0,0,0
231124124236,198,439,98,0,0,0,189,506,85,0,0,0
231124124247,198,438,98,0,0,0,189,505,85,0,0,0
231124124258,198,438,98,0,0,0,189,504,82,0,0,0
231124124310,198,438,98,0,0,0,189,502,82,0,0,0
231124124321,198,438,98,0,0,0,189,502,82,0,0,0
231124124332,198,438,98,0,0,0,189,501,82,0,0,0
231124124343,198,438,98,0,0,0,190,500,83,0,0,0
231124124513,198,436,98,0,0,0,191,493,81,0,0,0
231124124524,198,436,98,0,0,0,191,492,81,0,0,0
231124124535,198,434,95,0,0,0,191,491,81,0,0,0
231124124546,198,435,98,0,0,0,191,491,81,0,0,0
231124124557,198,435,98,0,0,0,191,491,81,0,0,0
231124124609,198,437,98,0,0,0,191,490,81,0,0,0
231124124620,198,437,98,0,0,0,191,489,81,0,0,0
231124124631,198,434,95,0,0,0,191,488,81,0,0,0
231124124642,198,438,98,0,0,0,191,488,81,0,0,0
231124124654,198,436,98,0,0,0,191,487,81,0,0,0
231124124705,198,434,95,0,0,0,191,487,81,0,0,0
231124124716,198,433,95,0,0,0,191,487,81,0,0,0
231124124727,198,433,95,0,0,0,191,487,81,0,0,0
231124124738,198,437,98,0,0,0,191,487,81,0,0,0
231124124750,198,435,98,0,0,0,191,488,81,0,0,0
231124124801,198,431,95,0,0,0,191,488,81,0,0,0
231124124812,198,433,95,0,0,0,191,488,81,0,0,0
231124124823,198,433,95,0,0,0,191,490,81,0,0,0
231124124834,198,433,95,0,0,0,191,490,81,0,0,0
231124124846,198,434,95,0,0,0,191,491,81,0,0,0
231124125015,198,433,95,0,0,0,191,498,84,0,0,0
231124125026,198,433,95,0,0,0,191,501,84,0,0,0
231124125038,198,433,95,0,0,0,191,503,84,0,0,0
231124125049,198,433,95,0,0,0,191,504,84,0,0,0
231124125100,198,435,98,0,0,0,191,504,84,0,0,0
231124125111,198,435,98,0,0,0,191,505,87,0,0,0
231124125122,198,435,98,0,0,0,191,506,87,0,0,0
231124125134,198,435,98,0,0,0,191,508,87,0,0,0
231124125145,198,435,98,0,0,0,191,508,87,0,0,0
231124125156,198,435,98,0,0,0,191,509,87,0,0,0
231124125207,198,436,98,0,0,0,191,509,87,0,0,0
231124125219,198,436,98,0,0,0,191,509,87,0,0,0
231124125230,198,436,98,0,0,0,191,509,87,0,0,0
231124125241,198,436,98,0,0,0,191,509,87,0,0,0
231124125252,198,437,98,0,0,0,191,509,87,0,0,0
231124125303,198,437,98,0,0,0,191,509,87,0,0,0
231124125315,198,438,98,0,0,0,191,509,87,0,0,0
231124125326,198,438,98,0,0,0,191,508,87,0,0,0
231124125337,198,438,98,0,0,0,191,508,87,0,0,0
231124125348,198,438,98,0,0,0,191,508,87,0,0,0
231124125507,198,444,98,0,0,0,191,503,84,0,0,0
231124125518,198,444,98,0,0,0,191,502,84,0,0,0
231124125529,198,441,98,0,0,0,191,502,84,0,0,0
231124125540,198,439,98,0,0,0,191,500,84,0,0,0
231124125551,198,436,98,0,0,0,191,500,84,0,0,0
