Data,TempAlimAG (C/10),TempRetAG (C/10),VzAlimAG (l/min/10),PresAlimAG (bar/10),PresRetAG (bar/10),VzGradCoil (l/min/10),VzGradPwr (l/min/10),VzComp (l/min/10)
231022172128,82,94,1641,35,32767,32767,32767,32767
231022172139,82,94,1633,35,32767,32767,32767,32767
231022172150,82,94,1621,35,32767,32767,32767,32767
231022172201,82,94,1623,35,32767,32767,32767,32767
231022172213,81,93,1630,35,32767,32767,32767,32767
231022172224,80,92,1635,35,32767,32767,32767,32767
231022172353,90,99,1626,35,32767,32767,32767,32767
231022172405,91,100,1644,35,32767,32767,32767,32767
231022172416,91,101,1623,35,32767,32767,32767,32767
231022172427,92,102,1632,35,32767,32767,32767,32767
231022172439,93,103,1637,35,32767,32767,32767,32767
231022172450,93,103,1648,35,32767,32767,32767,32767
231022172501,93,104,1640,35,32767,32767,32767,32767
231022172512,93,104,1634,35,32767,32767,32767,32767
231022172523,93,104,1648,35,32767,32767,32767,32767
231022172535,93,104,1632,35,32767,32767,32767,32767
231022172546,93,104,1625,35,32767,32767,32767,32767
231022172557,93,104,1637,35,32767,32767,32767,32767
231022172608,93,104,1631,35,32767,32767,32767,32767
231022172619,92,104,1630,35,32767,32767,32767,32767
231022172631,91,103,1616,35,32767,32767,32767,32767
231022172642,90,102,1621,35,32767,32767,32767,32767
231022172653,88,100,1642,35,32767,32767,32767,32767
231022172704,87,99,1645,35,32767,32767,32767,32767
231022172715,85,97,1618,35,32767,32767,32767,32767
231022172727,84,96,1643,35,32767,32767,32767,32767
231022172856,72,84,1631,35,32767,32767,32767,32767
231022172907,72,83,1630,35,32767,32767,32767,32767
231022172919,71,82,1611,35,32767,32767,32767,32767
231022172930,71,82,1629,35,32767,32767,32767,32767
231022172941,71,81,1624,35,32767,32767,32767,32767
231022172952,71,81,1620,35,32767,32767,32767,32767
231022173003,71,81,1625,35,32767,32767,32767,32767
231022173015,71,81,1631,35,32767,32767,32767,32767
231022173026,71,81,1644,35,32767,32767,32767,32767
231022173037,71,81,1631,35,32767,32767,32767,32767
231022173048,71,81,1618,35,32767,32767,32767,32767
231022173100,71,81,1634,35,32767,32767,32767,32767
231022173111,71,81,1624,35,32767,32767,32767,32767
231022173122,71,81,1625,35,32767,32767,32767,32767
231022173133,71,81,1615,35,32767,32767,32767,32767
231022173144,71,81,1619,35,32767,32767,32767,32767
231022173156,71,81,1628,35,32767,32767,32767,32767
231022173207,71,81,1632,35,32767,32767,32767,32767
231022173218,69,80,1620,35,32767,32767,32767,32767
231022173229,69,80,1180,26,32767,32767,32767,32767
231022173359,67,80,1185,26,32767,32767,32767,32767
231022173410,66,80,1187,26,32767,32767,32767,32767
