Data,TempEquip1 (C/10),UmdEquip1 (UR/10),DewEquip1 (C/10),TempEquip2 (C/10),UmdEquip2 (UR/10),DewEquip2 (C/10),TempExame1 (C/10),UmdExame1 (UR/10),DewExame1 (C/10),TempExame2 (C/10),UmdExame2 (UR/10),
231022135527,205,500,97,0,0,0,197,496,89,0,0,0
231022135538,205,499,97,0,0,0,197,495,89,0,0,0
231022135549,205,498,97,0,0,0,197,495,89,0,0,0
231022135601,205,499,97,0,0,0,197,495,89,0,0,0
231022135612,205,499,97,0,0,0,197,495,89,0,0,0
231022135623,205,500,97,0,0,0,197,495,89,0,0,0
231022135634,205,500,97,0,0,0,196,495,88,0,0,0
231022135646,205,502,97,0,0,0,196,495,88,0,0,0
231022135815,205,515,102,0,0,0,196,500,88,0,0,0
231022135826,205,516,102,0,0,0,195,502,87,0,0,0
231022135837,205,518,102,0,0,0,195,503,87,0,0,0
231022135848,205,519,102,0,0,0,195,504,87,0,0,0
231022135900,205,520,102,0,0,0,195,505,90,0,0,0
231022135911,205,520,102,0,0,0,195,507,90,0,0,0
231022135922,205,521,102,0,0,0,195,508,90,0,0,0
231022135933,205,522,102,0,0,0,195,509,90,0,0,0
231022135945,205,522,102,0,0,0,195,509,90,0,0,0
231022135956,205,522,102,0,0,0,195,510,90,0,0,0
231022140007,205,522,102,0,0,0,195,511,90,0,0,0
231022140018,205,522,102,0,0,0,195,513,90,0,0,0
231022140029,205,522,102,0,0,0,194,513,90,0,0,0
231022140041,205,521,102,0,0,0,194,514,90,0,0,0
231022140052,205,521,102,0,0,0,194,515,92,0,0,0
231022140103,205,519,102,0,0,0,194,515,92,0,0,0
231022140114,205,518,102,0,0,0,194,517,92,0,0,0
231022140125,205,517,102,0,0,0,193,517,91,0,0,0
231022140137,205,513,100,0,0,0,193,517,91,0,0,0
231022140148,205,513,100,0,0,0,193,517,91,0,0,0
231022140317,205,502,97,0,0,0,193,521,91,0,0,0
231022140329,205,500,97,0,0,0,192,522,90,0,0,0
231022140340,205,499,97,0,0,0,192,522,90,0,0,0
231022140351,205,498,97,0,0,0,192,522,90,0,0,0
231022140402,205,497,97,0,0,0,192,523,90,0,0,0
231022140414,205,498,97,0,0,0,192,523,90,0,0,0
231022140425,205,504,97,0,0,0,192,524,90,0,0,0
231022140436,205,506,100,0,0,0,192,524,90,0,0,0
231022140447,205,508,100,0,0,0,192,524,90,0,0,0
231022140458,205,510,100,0,0,0,192,524,90,0,0,0
231022140510,205,511,100,0,0,0,192,525,93,0,0,0
231022140521,205,514,100,0,0,0,192,527,93,0,0,0
