Data,Hora,Temp Equip Min (°C),Temp Equip Max (°C),Temp Equip (°C),Umd Equip Min (%),Umd Equip Max (%),Umd Equip (%),Temp Exame Min (°C),Temp Exame Max (°C),Temp Exame (°C),Umd Exame Min (%),Umd Exame Max (%),Umd Exame (%)
24/11/23,12:27:39,1,1,19.8,1,1,43.1,1,1,19.2,1,1,48.5
24/11/23,12:27:50,1,1,19.8,1,1,43.1,1,1,19.2,1,1,48.5
24/11/23,12:28:01,1,1,19.8,1,1,43.1,1,1,19.2,1,1,48.5
24/11/23,12:28:13,1,1,19.8,1,1,43.1,1,1,19.2,1,1,48.5
24/11/23,12:28:24,1,1,19.8,1,1,43.1,1,1,19.2,1,1,48.6
24/11/23,12:28:35,1,1,19.8,1,1,43.2,1,1,19.2,1,1,48.6
24/11/23,12:30:05,1,1,19.8,1,1,43.2,1,1,19.1,1,1,48.8
24/11/23,12:30:16,1,1,19.8,1,1,43.2,1,1,19.0,1,1,48.9
24/11/23,12:30:27,1,1,19.8,1,1,43.2,1,1,19.0,1,1,48.9
24/11/23,12:30:38,1,1,19.8,1,1,43.0,1,1,19.0,1,1,48.9
24/11/23,12:30:50,1,1,19.8,1,1,43.2,1,1,19.0,1,1,48.9
24/11/23,12:31:01,1,1,19.8,1,1,43.2,1,1,19.0,1,1,48.9
24/11/23,12:31:12,1,1,19.8,1,1,43.0,1,1,19.0,1,1,48.9
24/11/23,12:31:23,1,1,19.8,1,1,43.0,1,1,19.0,1,1,48.9
24/11/23,12:31:34,1,1,19.8,1,1,42.9,1,1,19.0,1,1,48.9
24/11/23,12:31:46,1,1,19.8,1,1,43.2,1,1,18.9,1,1,49.0
24/11/23,12:31:57,1,1,19.8,1,1,43.2,1,1,18.9,1,1,49.0
24/11/23,12:32:08,1,1,19.8,1,1,42.9,1,1,18.9,1,1,49.0
24/11/23,12:32:19,1,1,19.8,1,1,43.0,1,1,18.9,1,1,49.0
24/11/23,12:32:30,1,1,19.8,1,1,43.0,1,1,18.9,1,1,49.1
24/11/23,12:32:42,1,1,19.8,1,1,43.0,1,1,18.8,1,1,49.1
24/11/23,12:32:53,1,1,19.8,1,1,42.8,1,1,18.8,1,1,49.1
24/11/23,12:33:04,1,1,19.8,1,1,42.9,1,1,18.8,1,1,49.2
24/11/23,12:33:15,1,1,19.8,1,1,43.0,1,1,18.8,1,1,49.2
24/11/23,12:33:26,1,1,19.8,1,1,42.9,1,1,18.8,1,1,49.3
24/11/23,12:33:38,1,1,19.8,1,1,42.9,1,1,18.8,1,1,49.4
24/11/23,12:35:07,1,1,19.8,1,1,42.7,1,1,18.7,1,1,49.7
24/11/23,12:35:19,1,1,19.8,1,1,42.7,1,1,18.7,1,1,49.8
24/11/23,12:35:30,1,1,19.8,1,1,42.9,1,1,18.6,1,1,50.0
24/11/23,12:35:41,1,1,19.8,1,1,43.0,1,1,18.6,1,1,50.3
24/11/23,12:35:52,1,1,19.8,1,1,43.0,1,1,18.6,1,1,50.4
24/11/23,12:36:03,1,1,19.8,1,1,43.1,1,1,18.6,1,1,50.5
24/11/23,12:36:15,1,1,19.8,1,1,43.3,1,1,18.6,1,1,50.6
24/11/23,12:36:26,1,1,19.8,1,1,43.1,1,1,18.6,1,1,50.9
24/11/23,12:36:37,1,1,19.8,1,1,43.1,1,1,18.6,1,1,51.1
24/11/23,12:36:48,1,1,19.8,1,1,43.2,1,1,18.6,1,1,51.2
24/11/23,12:36:59,1,1,19.8,1,1,43.2,1,1,18.6,1,1,51.3
24/11/23,12:37:11,1,1,19.8,1,1,43.3,1,1,18.6,1,1,51.5
24/11/23,12:37:22,1,1,19.8,1,1,43.2,1,1,18.6,1,1,51.5
24/11/23,12:37:33,1,1,19.8,1,1,43.3,1,1,18.6,1,1,51.7
24/11/23,12:37:44,1,1,19.8,1,1,43.2,1,1,18.6,1,1,51.8
24/11/23,12:37:56,1,1,19.8,1,1,43.5,1,1,18.6,1,1,51.8
24/11/23,12:38:07,1,1,19.8,1,1,43.4,1,1,18.6,1,1,51.8
24/11/23,12:38:18,1,1,19.8,1,1,43.4,1,1,18.6,1,1,51.8
24/11/23,12:38:29,1,1,19.8,1,1,43.4,1,1,18.6,1,1,51.8
24/11/23,12:38:40,1,1,19.8,1,1,43.6,1,1,18.6,1,1,51.8
24/11/23,12:40:10,1,1,19.8,1,1,43.5,1,1,18.7,1,1,51.5
24/11/23,12:40:21,1,1,19.8,1,1,43.5,1,1,18.7,1,1,51.4
24/11/23,12:40:32,1,1,19.8,1,1,43.6,1,1,18.7,1,1,51.4
24/11/23,12:40:44,1,1,19.8,1,1,43.6,1,1,18.7,1,1,51.3
24/11/23,12:40:55,1,1,19.8,1,1,43.7,1,1,18.7,1,1,51.3
24/11/23,12:41:06,1,1,19.8,1,1,43.7,1,1,18.7,1,1,51.2
24/11/23,12:41:17,1,1,19.8,1,1,43.7,1,1,18.8,1,1,51.1
24/11/23,12:41:29,1,1,19.8,1,1,43.7,1,1,18.8,1,1,51.0
24/11/23,12:41:40,1,1,19.8,1,1,43.7,1,1,18.8,1,1,51.0
24/11/23,12:41:51,1,1,19.8,1,1,43.8,1,1,18.8,1,1,50.9
24/11/23,12:42:02,1,1,19.8,1,1,43.8,1,1,18.8,1,1,50.8
24/11/23,12:42:13,1,1,19.8,1,1,43.8,1,1,18.9,1,1,50.8
24/11/23,12:42:25,1,1,19.8,1,1,43.9,1,1,18.9,1,1,50.6
24/11/23,12:42:36,1,1,19.8,1,1,43.9,1,1,18.9,1,1,50.6
24/11/23,12:42:47,1,1,19.8,1,1,43.8,1,1,18.9,1,1,50.5
24/11/23,12:42:58,1,1,19.8,1,1,43.8,1,1,18.9,1,1,50.4
24/11/23,12:43:10,1,1,19.8,1,1,43.8,1,1,18.9,1,1,50.2
24/11/23,12:43:21,1,1,19.8,1,1,43.8,1,1,18.9,1,1,50.2
24/11/23,12:43:32,1,1,19.8,1,1,43.8,1,1,18.9,1,1,50.1
24/11/23,12:43:43,1,1,19.8,1,1,43.8,1,1,19.0,1,1,50.0
24/11/23,12:45:13,1,1,19.8,1,1,43.6,1,1,19.1,1,1,49.3
24/11/23,12:45:24,1,1,19.8,1,1,43.6,1,1,19.1,1,1,49.2
24/11/23,12:45:35,1,1,19.8,1,1,43.4,1,1,19.1,1,1,49.1
24/11/23,12:45:46,1,1,19.8,1,1,43.5,1,1,19.1,1,1,49.1
