Data,TempAlimAG (C/10),TempRetAG (C/10),VzAlimAG (l/min/10),PresAlimAG (bar/10),PresRetAG (bar/10),VzGradCoil (l/min/10),VzGradPwr (l/min/10),VzComp (l/min/10)
231124161114,65,101,655,37,32767,32767,32767,32767
231124161125,65,100,659,37,32767,32767,32767,32767
231124161137,64,99,662,37,32767,32767,32767,32767
231124161148,64,98,656,37,32767,32767,32767,32767
231124161159,63,98,656,37,32767,32767,32767,32767
231124161210,62,97,651,37,32767,32767,32767,32767
231124161221,62,97,651,37,32767,32767,32767,32767
231124161233,61,97,658,37,32767,32767,32767,32767
231124161244,61,97,657,37,32767,32767,32767,32767
231124161255,61,97,658,37,32767,32767,32767,32767
231124161306,61,97,660,37,32767,32767,32767,32767
231124161317,61,97,654,36,32767,32767,32767,32767
231124161329,61,97,640,36,32767,32767,32767,32767
231124161340,61,97,637,35,32767,32767,32767,32767
231124161351,61,96,628,34,32767,32767,32767,32767
231124161402,61,96,627,34,32767,32767,32767,32767
231124161413,61,95,632,34,32767,32767,32767,32767
231124161425,61,95,632,34,32767,32767,32767,32767
231124161554,61,97,624,34,32767,32767,32767,32767
231124161605,61,97,629,34,32767,32767,32767,32767
231124161617,61,97,637,35,32767,32767,32767,32767
231124161628,61,97,644,35,32767,32767,32767,32767
231124161639,61,97,641,36,32767,32767,32767,32767
231124161650,61,96,646,36,32767,32767,32767,32767
231124161701,60,95,651,36,32767,32767,32767,32767
231124161713,59,95,650,36,32767,32767,32767,32767
231124161724,59,95,651,36,32767,32767,32767,32767
231124161735,58,95,649,36,32767,32767,32767,32767
231124161746,58,95,656,36,32767,32767,32767,32767
231124161757,58,95,646,36,32767,32767,32767,32767
231124161809,58,95,650,36,32767,32767,32767,32767
231124161820,58,95,641,36,32767,32767,32767,32767
231124161831,58,95,639,36,32767,32767,32767,32767
231124161842,58,95,652,36,32767,32767,32767,32767
231124161854,58,95,648,36,32767,32767,32767,32767
231124161905,58,94,650,36,32767,32767,32767,32767
231124161916,58,94,651,36,32767,32767,32767,32767
231124161927,58,93,652,36,32767,32767,32767,32767
231124162057,57,93,649,36,32767,32767,32767,32767
231124162108,57,93,657,36,32767,32767,32767,32767
231124162120,57,93,661,36,32767,32767,32767,32767
231124162131,57,93,657,36,32767,32767,32767,32767
231124162142,57,92,650,36,32767,32767,32767,32767
231124162153,57,92,652,36,32767,32767,32767,32767
231124162204,57,91,661,37,32767,32767,32767,32767
231124162216,57,91,660,37,32767,32767,32767,32767
231124162227,57,91,652,37,32767,32767,32767,32767
231124162238,56,91,661,37,32767,32767,32767,32767
231124162249,56,91,653,37,32767,32767,32767,32767
231124162300,56,91,656,37,32767,32767,32767,32767
231124162312,56,91,660,37,32767,32767,32767,32767
231124162323,58,91,665,37,32767,32767,32767,32767
231124162334,62,91,659,37,32767,32767,32767,32767
231124162345,65,92,660,37,32767,32767,32767,32767
231124162356,70,93,659,37,32767,32767,32767,32767
231124162408,73,95,665,37,32767,32767,32767,32767
231124162419,76,97,662,37,32767,32767,32767,32767
231124162430,79,99,665,37,32767,32767,32767,32767
231124162600,61,113,657,37,32767,32767,32767,32767
231124162611,61,109,659,37,32767,32767,32767,32767
231124162623,61,106,657,36,32767,32767,32767,32767
231124162634,61,103,647,36,32767,32767,32767,32767
231124162645,61,101,637,35,32767,32767,32767,32767
231124162656,61,99,629,34,32767,32767,32767,32767
231124162707,61,98,636,34,32767,32767,32767,32767
231124162719,61,97,627,34,32767,32767,32767,32767
231124162730,61,97,636,34,32767,32767,32767,32767
231124162741,61,97,627,34,32767,32767,32767,32767
231124162752,61,97,631,34,32767,32767,32767,32767
231124162803,61,97,632,34,32767,32767,32767,32767
231124162815,61,97,631,34,32767,32767,32767,32767
231124162826,61,97,638,34,32767,32767,32767,32767
231124162837,61,97,627,34,32767,32767,32767,32767
231124162848,61,97,637,34,32767,32767,32767,32767
231124162900,61,97,638,34,32767,32767,32767,32767
231124162911,61,97,646,35,32767,32767,32767,32767
231124162922,61,97,649,36,32767,32767,32767,32767
231124162933,61,97,651,36,32767,32767,32767,32767
231124163051,57,94,656,37,32767,32767,32767,32767
231124163103,57,94,659,37,32767,32767,32767,32767
231124163114,57,94,661,37,32767,32767,32767,32767
231124163125,57,94,659,37,32767,32767,32767,32767
231124163136,62,94,662,37,32767,32767,32767,32767
231124163148,64,94,657,37,32767,32767,32767,32767
231124163159,67,94,666,37,32767,32767,32767,32767
231124163210,71,94,668,37,32767,32767,32767,32767
231124163221,74,95,658,37,32767,32767,32767,32767
231124163232,77,98,667,37,32767,32767,32767,32767
231124163244,81,101,665,37,32767,32767,32767,32767
231124163255,84,104,669,37,32767,32767,32767,32767
231124163306,87,107,661,37,32767,32767,32767,32767
231124163317,87,110,661,37,32767,32767,32767,32767
231124163328,87,113,668,37,32767,32767,32767,32767
231124163340,87,114,660,37,32767,32767,32767,32767
231124163351,86,115,663,37,32767,32767,32767,32767
231124163402,84,115,661,37,32767,32767,32767,32767
231124163413,83,115,662,37,32767,32767,32767,32767
231124163424,82,115,658,37,32767,32767,32767,32767
231124163554,76,114,662,37,32767,32767,32767,32767
231124163605,75,113,657,37,32767,32767,32767,32767
231124163616,75,111,662,37,32767,32767,32767,32767
231124163628,74,110,662,37,32767,32767,32767,32767
231124163639,73,109,665,37,32767,32767,32767,32767
231124163650,73,107,665,37,32767,32767,32767,32767
231124163701,71,107,661,37,32767,32767,32767,32767
