Data,Hora,Temp Equip Min (°C),Temp Equip Max (°C),Temp Equip (°C),Umd Equip Min (%),Umd Equip Max (%),Umd Equip (%),Temp Exame Min (°C),Temp Exame Max (°C),Temp Exame (°C),Umd Exame Min (%),Umd Exame Max (%),Umd Exame (%)
24/11/23,12:27:39,5,5,19.8,5,5,43.1,5,5,19.2,5,5,48.5
24/11/23,12:27:50,5,5,19.8,5,5,43.1,5,5,19.2,5,5,48.5
24/11/23,12:28:01,5,5,19.8,5,5,43.1,5,5,19.2,5,5,48.5
24/11/23,12:28:13,5,5,19.8,5,5,43.1,5,5,19.2,5,5,48.5
24/11/23,12:28:24,5,5,19.8,5,5,43.1,5,5,19.2,5,5,48.6
24/11/23,12:28:35,5,5,19.8,5,5,43.2,5,5,19.2,5,5,48.6
24/11/23,12:30:05,5,5,19.8,5,5,43.2,5,5,19.1,5,5,48.8
24/11/23,12:30:16,5,5,19.8,5,5,43.2,5,5,19.0,5,5,48.9
24/11/23,12:30:27,5,5,19.8,5,5,43.2,5,5,19.0,5,5,48.9
24/11/23,12:30:38,5,5,19.8,5,5,43.0,5,5,19.0,5,5,48.9
24/11/23,12:30:50,5,5,19.8,5,5,43.2,5,5,19.0,5,5,48.9
24/11/23,12:31:01,5,5,19.8,5,5,43.2,5,5,19.0,5,5,48.9
24/11/23,12:31:12,5,5,19.8,5,5,43.0,5,5,19.0,5,5,48.9
24/11/23,12:31:23,5,5,19.8,5,5,43.0,5,5,19.0,5,5,48.9
24/11/23,12:31:34,5,5,19.8,5,5,42.9,5,5,19.0,5,5,48.9
24/11/23,12:31:46,5,5,19.8,5,5,43.2,5,5,18.9,5,5,49.0
24/11/23,12:31:57,5,5,19.8,5,5,43.2,5,5,18.9,5,5,49.0
24/11/23,12:32:08,5,5,19.8,5,5,42.9,5,5,18.9,5,5,49.0
24/11/23,12:32:19,5,5,19.8,5,5,43.0,5,5,18.9,5,5,49.0
24/11/23,12:32:30,5,5,19.8,5,5,43.0,5,5,18.9,5,5,49.1
24/11/23,12:32:42,5,5,19.8,5,5,43.0,5,5,18.8,5,5,49.1
24/11/23,12:32:53,5,5,19.8,5,5,42.8,5,5,18.8,5,5,49.1
24/11/23,12:33:04,5,5,19.8,5,5,42.9,5,5,18.8,5,5,49.2
24/11/23,12:33:15,5,5,19.8,5,5,43.0,5,5,18.8,5,5,49.2
24/11/23,12:33:26,5,5,19.8,5,5,42.9,5,5,18.8,5,5,49.3
24/11/23,12:33:38,5,5,19.8,5,5,42.9,5,5,18.8,5,5,49.4
24/11/23,12:35:07,5,5,19.8,5,5,42.7,5,5,18.7,5,5,49.7
24/11/23,12:35:19,5,5,19.8,5,5,42.7,5,5,18.7,5,5,49.8
24/11/23,12:35:30,5,5,19.8,5,5,42.9,5,5,18.6,5,5,50.0
24/11/23,12:35:41,5,5,19.8,5,5,43.0,5,5,18.6,5,5,50.3
24/11/23,12:35:52,5,5,19.8,5,5,43.0,5,5,18.6,5,5,50.4
24/11/23,12:36:03,5,5,19.8,5,5,43.1,5,5,18.6,5,5,50.5
24/11/23,12:36:15,5,5,19.8,5,5,43.3,5,5,18.6,5,5,50.6
24/11/23,12:36:26,5,5,19.8,5,5,43.1,5,5,18.6,5,5,50.9
24/11/23,12:36:37,5,5,19.8,5,5,43.1,5,5,18.6,5,5,51.1
24/11/23,12:36:48,5,5,19.8,5,5,43.2,5,5,18.6,5,5,51.2
24/11/23,12:36:59,5,5,19.8,5,5,43.2,5,5,18.6,5,5,51.3
24/11/23,12:37:11,5,5,19.8,5,5,43.3,5,5,18.6,5,5,51.5
24/11/23,12:37:22,5,5,19.8,5,5,43.2,5,5,18.6,5,5,51.5
24/11/23,12:37:33,5,5,19.8,5,5,43.3,5,5,18.6,5,5,51.7
24/11/23,12:37:44,5,5,19.8,5,5,43.2,5,5,18.6,5,5,51.8
24/11/23,12:37:56,5,5,19.8,5,5,43.5,5,5,18.6,5,5,51.8
24/11/23,12:38:07,5,5,19.8,5,5,43.4,5,5,18.6,5,5,51.8
24/11/23,12:38:18,5,5,19.8,5,5,43.4,5,5,18.6,5,5,51.8
24/11/23,12:38:29,5,5,19.8,5,5,43.4,5,5,18.6,5,5,51.8
24/11/23,12:38:40,5,5,19.8,5,5,43.6,5,5,18.6,5,5,51.8
24/11/23,12:40:10,5,5,19.8,5,5,43.5,5,5,18.7,5,5,51.5
